1,1441958707389,0,0,1,0,off-topic,1441958707389,120,52,@Katy_Potaty yes! I also own by any means as well - total wanderlust I have.
2,1441958707407,0,1,1,0,off-topic,18,161,53,@invig There is no IPC protocol at all for iOS right now. Zero. At the moment, any inter-app is done purely via URLs.
3,1441958707409,0,0,1,0,off-topic,2,79,54,There's another Assasin's creed? :o
4,1441958707410,0,0,1,0,off-topic,1,175,56,@yvonnetrinh Haha oh nice! I need to do some excercise today bahahha but yes I don't mind them :) will invest in more in the future
5,1441958707411,0,0,1,0,off-topic,1,100,57,Back again (@ Broncos Leagues Club) http://t.co/DIg6LQVG
6,1441958707423,0,0,1,0,off-topic,12,115,58,Spear fishing in the Coral Sea. I caught a beetle. http://t.co/Ujgm1j5e
7,1441958707424,0,1,1,0,off-topic,1,149,59,@Caarlax ...aww I start work before sunrise, plus there's no beach, i work in the desert haha #scunered x
8,1441958707424,0,0,1,0,off-topic,0,147,60,@jimpeeps  it is mate unreal place is jus different class so chilled defo recommend it to any1 #thelife
9,1441958707425,0,0,1,0,off-topic,1,160,61,@jennifer_hewett: Double standards on sexism@jennifer.hewett  http://t.co/I5o9yGIM I enjoyed the read. All too true.
10,1441958707425,0,0,1,0,off-topic,0,94,34,I DUN LIKE MY MATH AND BUSINESS CLASS HERE. K bye.
11,1441958707426,0,0,1,0,off-topic,1,126,35,@PuddStrikesBack *damn fat fingers* and you could cock punch him in the bacon bits
12,1441958707444,0,0,1,0,off-topic,18,153,36,I've finally seen the wind turbines! Impressive! (@ Windy Hill Wind Farm w/ @mr_billiam) http://t.co/wMYAswl8
13,1441958707445,0,0,1,0,off-topic,1,144,37,Enjoying your #AustraliaDay holiday? Check my blog post! http://t.co/zjPIX0FN #Australia #indigenous
14,1441958707446,0,0,1,0,off-topic,1,90,38,@Cast_Nath @sbear0112 wow that was a while ago
15,1441958707446,0,0,1,0,off-topic,0,188,39,@MicalSpears4SBF Friday is over Saturday is here where I am off to support INM at an aboriginal corroboree. Blessings on you &amp; your Friday..
16,1441958707446,0,1,1,0,off-topic,0,148,40,@LittleBirdie87 Ugh he's just so condescending and pretentious. It's a pity they're the Queensland team.
17,1441958707450,0,0,1,0,off-topic,4,95,41,Using lunch break to take photos for CV. #ActorLife
18,1441958707451,0,0,1,0,off-topic,1,109,42,@Abloorable well done. You forgot to mention 86 twitter accounts!
19,1441958707451,0,0,1,0,off-topic,0,147,43,son and family have tickets for the Keith urban concert flew down on Friday disappointed #themthebreaks
20,1441958707451,0,0,1,0,off-topic,0,107,44,Friday market (at Elizabeth Street) [pic]  http://t.co/3jQ38CZ1
21,1441958707451,0,1,1,0,off-topic,0,109,45,@sherwin 1000 pages is far too long for my feeble brain right now
22,1441958707452,0,0,1,0,off-topic,1,128,46,Mhmm watching basketball on tv ATM and them hot cheerleaders! Holy shit! 8=========D
23,1441958707452,0,0,1,0,off-topic,0,82,47,@Sky_W82 lol i dont like photos of me.
24,1441958707452,1,0,1,0,on-topic,0,126,48,.....the rowing club next to out apartment block is underwater, warm &amp; wet....
25,1441958707452,0,0,1,0,off-topic,0,153,49,@9NewsBrisbane: RT @jsthirtyfive: QLD police couldn't resist having a hell time. #bigwet http://t.co/u5KjAKtB
26,1441958707453,0,0,1,0,off-topic,1,151,50,@sbear0112 DVDs have different region codes, so American/Canada is 1, UK is 2 and Australia/NZ are region 4
27,1441958707453,0,0,1,0,off-topic,0,90,28,@peacelovevegan I have BG on my list to watch.
28,1441958707453,0,0,1,0,off-topic,0,165,29,@Ellendoughty it's ridiculous how they're implying that first and foremost it's the victim's fault... Fucking disgusting.
29,1441958707453,0,0,1,0,off-topic,0,171,31,Me, Dallas and joeeyy33 . We on that patron boys !! #fuckinwasted #drunkennights #kayjays21st @ Hot Gossip http://t.co/aMISLwdE
30,1441958707457,0,0,1,0,off-topic,4,107,32,Works was hectic today. So much drama for one small business :/
